Index,Name
4,3rdVentricle
11,4thVentricle
23,AccumbensArea_R
30,AccumbensArea_L
31,Amygdala_R
32,Amygdala_L
35,BrainStem
36,Caudate_R
37,Caudate_L
38,CerebellumExterior_R
39,CerebellumExterior_L
40,Cerebellum_WM_R
41,Cerebellum_WM_L
47,Hippocampus_R
48,Hippocampus_L
49,InfLatVentricle_R
50,InfLatVentricle_L
51,LateralVentricle_R
52,LateralVentricle_L
55,Pallidum_R
56,Pallidum_L
57,Putamen_R
58,Putamen_L
59,ThalamusProper_R
60,ThalamusProper_L
61,VentralDC_R
62,VentralDC_L
71,CerebellarVermalLobules_1to5
72,CerebellarVermalLobules_6to7
73,CerebellarVermalLobules_8to10
75,BasalForebrain_L
76,BasalForebrain_R
81,Frontal_WM_R
82,Frontal_WM_L
83,Occipital_WM_R
84,Occipital_WM_L
85,Parietal_WM_R
86,Parietal_WM_L
87,Temporal_WM_R
88,Temporal_WM_L
89,Fornix_R
90,Fornix_L
91,AnteriorLimbInternalCapsule_R
92,AnteriorLimbInternalCapsule_L
93,PosteriorLimbInternalCapsuleIncCerebralPeduncle_R
94,PosteriorLimbInternalCapsuleIncCerebralPeduncle_L
95,CorpusCallosum
100,AnteriorCingulateGyrus_R
101,AnteriorCingulateGyrus_L
102,AnteriorInsula_R
103,AnteriorInsula_L
104,AnteriorOrbitalGyrus_R
105,AnteriorOrbitalGyrus_L
106,AngularGyrus_R
107,AngularGyrus_L
108,CalcarineCortex_R
109,CalcarineCortex_L
112,CentralOperculum_R
113,CentralOperculum_L
114,Cuneus_R
115,Cuneus_L
116,EntorhinalArea_R
117,EntorhinalArea_L
118,FrontalOperculum_R
119,FrontalOperculum_L
120,FrontalPole_R
121,FrontalPole_L
122,FusiformGyrus_R
123,FusiformGyrus_L
124,GyrusRectus_R
125,GyrusRectus_L
128,InferiorOccipitalGyrus_R
129,InferiorOccipitalGyrus_L
132,InferiorTemporalGyrus_R
133,InferiorTemporalGyrus_L
134,LingualGyrus_R
135,LingualGyrus_L
136,LateralOrbitalGyrus_R
137,LateralOrbitalGyrus_L
138,MiddleCingulateGyrus_R
139,MiddleCingulateGyrus_L
140,MedialFrontalCortex_R
141,MedialFrontalCortex_L
142,MiddleFrontalGyrus_R
143,MiddleFrontalGyrus_L
144,MiddleOccipitalGyrus_R
145,MiddleOccipitalGyrus_L
146,MedialOrbitalGyrus_R
147,MedialOrbitalGyrus_L
148,PostcentralGyrusMedialSegment_R
149,PostcentralGyrusMedialSegment_L
150,PrecentralGyrusMedialSegment_R
151,PrecentralGyrusMedialSegment_L
152,SuperiorFrontalGyrusMedialSegment_R
153,SuperiorFrontalGyrusMedialSegment_L
154,MiddleTemporalGyrus_R
155,MiddleTemporalGyrus_L
156,OccipitalPole_R
157,OccipitalPole_L
160,OccipitalFusiformGyrus_R
161,OccipitalFusiformGyrus_L
162,OpercularPartInferiorFrontalGyrus_R
163,OpercularPartInferiorFrontalGyrus_L
164,OrbitalPartInferiorFrontalGyrus_R
165,OrbitalPartInferiorFrontalGyrus_L
166,PosteriorCingulateGyrus_R
167,PosteriorCingulateGyrus_L
168,Precuneus_R
169,Precuneus_L
170,ParahippocampalGyrus_R
171,ParahippocampalGyrus_L
172,PosteriorInsula_R
173,PosteriorInsula_L
174,ParietalOperculum_R
175,ParietalOperculum_L
176,PostcentralGyrus_R
177,PostcentralGyrus_L
178,PosteriorOrbitalGyrus_R
179,PosteriorOrbitalGyrus_L
180,PlanumPolare_R
181,PlanumPolare_L
182,PrecentralGyrus_R
183,PrecentralGyrus_L
184,PlanumTemporale_R
185,PlanumTemporale_L
186,SubcallosalArea_R
187,SubcallosalArea_L
190,SuperiorFrontalGyrus_R
191,SuperiorFrontalGyrus_L
192,SupplementaryMotorCortex_R
193,SupplementaryMotorCortex_L
194,SupramarginalGyrus_R
195,SupramarginalGyrus_L
196,SuperiorOccipitalGyrus_R
197,SuperiorOccipitalGyrus_L
198,Superior_parietalLobule_R
199,Superior_parietalLobule_L
200,SuperiorTemporalGyrus_R
201,SuperiorTemporalGyrus_L
202,TemporalPole_R
203,TemporalPole_L
204,TriangularPartInferiorFrontalGyrus_R
205,TriangularPartInferiorFrontalGyrus_L
206,TransverseTemporalGyrus_R
207,TransverseTemporalGyrus_L
